customer_id,customer_name,email
1,Yvonne Muthoni,yvonne.muthoni1@example.com
2,Terry Njeri,terry.njeri2@example.com
3,Amina Kariuki,amina.kariuki3@example.com
4,James Njoroge,james.njoroge4@example.com
5,Irene Omondi,irene.omondi5@example.com
6,Esther Otieno,esther.otieno6@example.com
7,James Otieno,james.otieno7@example.com
8,Wanjiku Kariuki,wanjiku.kariuki8@example.com
9,George Odhiambo,george.odhiambo9@example.com
10,Peter Kiptoo,peter.kiptoo10@example.com
11,Mary Kamau,mary.kamau11@example.com
12,Zachary Muthoni,zachary.muthoni12@example.com
13,Samuel Muthoni,samuel.muthoni13@example.com
14,Naomi Achieng,naomi.achieng14@example.com
15,Amina Cheruiyot,amina.cheruiyot15@example.com
16,Esther Muthoni,esther.muthoni16@example.com
17,Amina Cheruiyot,amina.cheruiyot17@example.com
18,Wanjiku Cheruiyot,wanjiku.cheruiyot18@example.com
19,Wanjiku Muli,wanjiku.muli19@example.com
20,James Njeri,james.njeri20@example.com
21,Cynthia Muli,cynthia.muli21@example.com
22,Esther Njoroge,esther.njoroge22@example.com
23,Amina Njeri,amina.njeri23@example.com
24,Harun Maina,harun.maina24@example.com
25,Faith Wambui,faith.wambui25@example.com
26,Queenter Njeri,queenter.njeri26@example.com
27,Brian Cheruiyot,brian.cheruiyot27@example.com
28,Yvonne Kariuki,yvonne.kariuki28@example.com
29,Zachary Njoroge,zachary.njoroge29@example.com
30,Queenter Kamau,queenter.kamau30@example.com
31,Harun Mwangi,harun.mwangi31@example.com
32,Victor Muli,victor.muli32@example.com
33,Esther Njoroge,esther.njoroge33@example.com
34,Peter Omondi,peter.omondi34@example.com
35,Esther Achieng,esther.achieng35@example.com
36,Zachary Muli,zachary.muli36@example.com
37,Terry Muthoni,terry.muthoni37@example.com
38,George Maina,george.maina38@example.com
39,Cynthia Cheruiyot,cynthia.cheruiyot39@example.com
40,Cynthia Moraa,cynthia.moraa40@example.com
41,Kevin Omondi,kevin.omondi41@example.com
42,Wanjiku Achieng,wanjiku.achieng42@example.com
43,Cynthia Maina,cynthia.maina43@example.com
44,James Odhiambo,james.odhiambo44@example.com
45,Samuel Wafula,samuel.wafula45@example.com
46,Queenter Muthoni,queenter.muthoni46@example.com
47,Peter Njoroge,peter.njoroge47@example.com
48,Brian Njoroge,brian.njoroge48@example.com
49,David Njoroge,david.njoroge49@example.com
50,Kevin Cheruiyot,kevin.cheruiyot50@example.com
51,Naomi Njoroge,naomi.njoroge51@example.com
52,Rose Moraa,rose.moraa52@example.com
53,Peter Otieno,peter.otieno53@example.com
54,David Kariuki,david.kariuki54@example.com
55,David Wanjala,david.wanjala55@example.com
56,Kevin Kariuki,kevin.kariuki56@example.com
57,Victor Wanjala,victor.wanjala57@example.com
58,Oscar Omondi,oscar.omondi58@example.com
59,George Muli,george.muli59@example.com
60,Victor Njoroge,victor.njoroge60@example.com
61,Terry Moraa,terry.moraa61@example.com
62,James Wambui,james.wambui62@example.com
